"value","mean","sd","lower","median","upper","mode","kld","group","effect","deltawaic","deltadic","deltaLS","clim","lag"
41.101583011564,-1.20130109786987,0.185068845748901,-1.5656067822133,-1.20098389401648,-0.839014827370206,-1.20028495788574,2.44533932271591e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
42.32637,-1.4239319562912,0.225580543279648,-1.86819440741619,-1.42346579379073,-0.982544669380335,-1.42243695259094,3.13627481060316e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
43.81235,-1.69883680343628,0.280750334262848,-2.25200759670145,-1.69816057202564,-1.1497421585139,-1.69666266441345,3.65511832716838e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
45.1384792104363,-1.94685637950897,0.335023790597916,-2.60718842493994,-1.94596698391467,-1.29181485025491,-1.94398927688599,3.89389146218821e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
45.84114,-2.07881927490234,0.36559984087944,-2.79953100635368,-2.07780769384886,-1.36409276978653,-2.07555365562439,3.95890458766576e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
47.7223630368661,-2.43338298797607,0.453610062599182,-3.32791602362434,-2.4320142260785,-1.5468589346515,-2.42894792556763,3.99553052214946e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
48.4849803557086,-2.57720446586609,0.491532146930695,-3.54664077110529,-2.57568107018185,-1.6166526142982,-2.572261095047,3.97405327055058e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
-2.52245387033981,-0.211081698536873,0.0708847269415855,-0.350778138279638,-0.21090426080798,-0.0724779536195078,-0.210532739758492,3.16696793917725e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-2.4213644581915,-0.150973483920097,0.0552921332418919,-0.259818160051332,-0.150877490545472,-0.0427511403011073,-0.150676026940346,2.21069537318794e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-2.29046523683541,-0.0749323219060898,0.0390271581709385,-0.151638683484652,-0.0749058934646407,0.00155885628263717,-0.0748489424586296,4.99866660702157e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-2.16664018994446,-0.0099197207018733,0.0287558399140835,-0.0663794132417945,-0.00991979797123187,0.046486865576308,-0.0099174976348877,3.98215359213879e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-2.03978997114118,0.0371848866343498,0.0232426766306162,-0.00840749035413844,0.0371709391258124,0.0828095359898646,0.0371446870267391,3.85158935870152e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-1.90395533675227,0.0539948828518391,0.0208054166287184,0.0132092571946578,0.0539733475047236,0.0948587254093614,0.0539314039051533,4.51842059247945e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-1.7690741528682,0.0522089116275311,0.0194095801562071,0.0141307078523206,0.0521980663400327,0.0903093299851625,0.0521777793765068,2.2393812960044e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-1.64289504974466,0.0520712174475193,0.0183046162128448,0.0161412550095994,0.0520676155329798,0.0879859966607517,0.0520619004964828,1.25627471216877e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-1.51170896094974,0.0549628958106041,0.0172838978469372,0.0210310303851957,0.0549614515767619,0.0888699202209492,0.0549600087106228,9.46245964581995e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-1.38217177606894,0.0644403025507927,0.0164441168308258,0.0321672119487286,0.0644356966538338,0.0967074933232354,0.0644278004765511,1.67782284999271e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-1.25541402346859,0.0716416239738464,0.0159961096942425,0.0402570037957729,0.0716341316460878,0.103036957718165,0.0716203600168228,2.4676113040819e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-1.12493290263409,0.0676550418138504,0.0156950503587723,0.0368542703991183,0.0676498241409324,0.0984547337898555,0.0676406174898148,1.468244918769e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-0.992555478712074,0.0666716992855072,0.015348038636148,0.0365520146515718,0.0666665323338989,0.0967907073798454,0.0666574090719223,1.29673318586936e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-0.8619362,0.0631771087646484,0.0150097142904997,0.0337155109326315,0.063173961997681,0.0926277247192773,0.0631688833236694,7.5996735028877e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-0.729735159587045,0.0610306486487389,0.0148148192092776,0.0319442972982868,0.0610299159564221,0.0900932732208329,0.0610296949744225,3.28292739622e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-0.600990237133413,0.0681793764233589,0.0146744046360254,0.0393766294706998,0.0681759788426157,0.0969731309354798,0.0681703761219978,6.18085962023429e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-0.469428516564163,0.0796142444014549,0.0144975045695901,0.0511764483166043,0.0796050819838196,0.108074863592728,0.0795877724885941,1.75367714418778e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-0.336676902328107,0.0801166966557503,0.0142876803874969,0.052093725025319,0.0801066150202902,0.108167950878715,0.0800874084234238,1.88254654527025e-06,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-0.208477927662746,0.068210206925869,0.0141209503635764,0.0405028845454898,0.0682039033747684,0.0959255787818774,0.0681923776865005,7.78044063653603e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
-0.077524264634499,0.0538254119455814,0.014119129627943,0.0261117473236795,0.0538223277365938,0.0815297383231491,0.0538173019886017,1.95509955710073e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
0.05560295,0.0448329262435436,0.0140812853351235,0.0171963853254895,0.0448288940374078,0.0724654450044961,0.0448219552636147,1.8868831364632e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
0.183171443567794,0.0387032069265842,0.0141386389732361,0.0109628588817616,0.038696244881605,0.0664554063866336,0.0386833772063255,3.91053552809272e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
0.316095548510237,0.0303339399397373,0.0142925791442394,0.00230043728246413,0.030323974565144,0.0583953773223076,0.0303050056099892,6.7961791326622e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
0.4478103,0.00986121315509081,0.0144169051200151,-0.0184266147787221,0.00985455530385052,0.0381589559368914,0.00984232220798731,1.36614059450613e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
0.576694985068261,-0.00897783599793911,0.0145006356760859,-0.0374364251211703,-0.00898238659792976,0.0194792308683376,-0.0089903436601162,2.79276091655914e-08,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
0.7089928,-0.0250392816960812,0.014623542316258,-0.0537424845696238,-0.0250427429992501,0.00365639762290136,-0.0250484887510538,5.84014589402067e-08,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
0.840702979679377,-0.0361605919897556,0.0147428894415498,-0.0650983016224379,-0.036163995521884,-0.00723083603054024,-0.0361696146428585,9.08997770191893e-08,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
0.971482690633273,-0.0405993796885014,0.014840136282146,-0.0697213534175085,-0.0406049683489143,-0.0114736472239389,-0.0406150035560131,2.84296968931867e-08,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
1.10062503672761,-0.0432022362947464,0.0150517653673887,-0.0727318571494638,-0.0432103779096903,-0.013655410108155,-0.0432255901396275,5.30577709286195e-08,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
1.22945258083282,-0.0510970875620842,0.0154699310660362,-0.0814454470778967,-0.0511060128664772,-0.0207279448698343,-0.0511227920651436,4.13143201959376e-08,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
1.359467,-0.0720461010932922,0.0161354932934046,-0.103718684299743,-0.0720494126698225,-0.0403837597152579,-0.0720547437667847,5.81856572088616e-07,1,"spei12_1",-132.408500223071,-95.0154729799833,-0.000486380355600113,"spei12","1"
