"provinceid","province","areaid","district","year","month","date","cases","year_useable_from","year_month","population_census","urbanpop_census","ruralpop_census","popdens_census","pop_propurban_census","incidence"
80043,"Khanh Hoa","70460","Ninh Hoa",2003,10,2004-02-16,1,1999,"2003_10",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,0.465448113989493
80043,"Khanh Hoa","70460","Ninh Hoa",2003,11,2004-03-16,3,1999,"2003_11",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,1.39634434196848
80043,"Khanh Hoa","70460","Ninh Hoa",2003,12,2004-04-16,16,1999,"2003_12",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,7.44716982383189
80043,"Khanh Hoa","70460","Ninh Hoa",2004,1,2004-05-16,27,1999,"2004_1",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,12.4231037881903
80043,"Khanh Hoa","70460","Ninh Hoa",2004,2,2004-06-16,24,1999,"2004_2",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,11.0427589228358
80043,"Khanh Hoa","70460","Ninh Hoa",2004,3,2004-07-16,40,1999,"2004_3",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,18.4045982047263
80043,"Khanh Hoa","70460","Ninh Hoa",2004,4,2004-08-16,40,1999,"2004_4",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,18.4045982047263
80043,"Khanh Hoa","70460","Ninh Hoa",2004,5,2004-09-16,12,1999,"2004_5",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,5.52137946141789
80043,"Khanh Hoa","70460","Ninh Hoa",2004,6,2004-10-16,8,1999,"2004_6",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,3.68091964094526
80043,"Khanh Hoa","70460","Ninh Hoa",2004,7,2004-11-16,12,1999,"2004_7",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,5.52137946141789
80043,"Khanh Hoa","70460","Ninh Hoa",2004,8,2004-12-16,15,1999,"2004_8",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,6.90172432677237
80043,"Khanh Hoa","70460","Ninh Hoa",2004,9,2005-01-16,8,1999,"2004_9",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,3.68091964094526
80043,"Khanh Hoa","70460","Ninh Hoa",2004,10,2005-02-16,12,1999,"2004_10",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,5.52137946141789
80043,"Khanh Hoa","70460","Ninh Hoa",2004,11,2005-03-16,5,1999,"2004_11",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,2.30057477559079
80043,"Khanh Hoa","70460","Ninh Hoa",2004,12,2005-04-16,12,1999,"2004_12",217336.991305401,8123.63670937502,209213.354596026,180.883260473763,0.037378067399303,5.52137946141789
80043,"Khanh Hoa","70460","Ninh Hoa",2005,1,2005-05-16,119,1999,"2005_1",219827.263944633,9821.54737714243,210005.716567491,182.955842006006,0.044678477095617,54.1334126916905
80043,"Khanh Hoa","70460","Ninh Hoa",2005,2,2005-06-16,94,1999,"2005_2",219827.263944633,9821.54737714243,210005.716567491,182.955842006006,0.044678477095617,42.7608470001589
80043,"Khanh Hoa","70460","Ninh Hoa",2005,3,2005-07-16,77,1999,"2005_3",219827.263944633,9821.54737714243,210005.716567491,182.955842006006,0.044678477095617,35.0275023299174
80043,"Khanh Hoa","70460","Ninh Hoa",2005,4,2005-08-16,243,1999,"2005_4",219827.263944633,9821.54737714243,210005.716567491,182.955842006006,0.044678477095617,110.541338521687
